no,line,weight,temp,minutes,result
1001,B,332.3,115.6,6.1,불합격
1002,A,347.7,112.6,12.8,불합격
1003,B,339.3,123.9,10.3,합격
1004,A,335.1,113.6,8.3,불합격
1005,A,340.0,121.3,8.4,합격
1006,B,343.2,120.6,7.4,합격
1007,B,337.9,125.3,10.6,합격
1008,A,,115.8,12.3,합격
1009,A,348.8,121.0,12.4,합격
1010,B,338.9,113.4,9.2,불합격
1011,A,347.1,112.8,12.6,불합격
1012,B,338.7,118.5,9.7,합격
1013,B,338.9,999.0,14.6,합격
1014,A,336.7,123.9,7.6,합격
1015,B,333.6,115.1,8.1,불합격
1016,B,343.2,114.5,7.3,불합격
1017,B,340.1,112.1,10.3,불합격
1018,A,337.9,118.9,10.6,합격
1019,B,346.2,124.1,15.8,합격
1020,A,342.0,120.9,9.8,합격
1021,A,350.6,113.5,13.5,불합격
1022,B,351.1,122.4,13.5,합격
1023,B,335.3,112.1,8.0,불합격
1024,A,,114.3,11.1,불합격
1025,A,340.7,123.6,7.8,합격
1026,A,343.3,124.9,10.2,합격
1027,B,342.1,121.0,10.1,합격
1028,A,345.0,112.9,13.8,불합격
1029,B,342.3,121.3,15.2,합격
1030,A,332.3,117.5,10.9,합격
1031,B,3402.0,123.8,7.5,합격
1032,A,347.8,119.0,10.9,합격
1033,A,349.2,117.5,8.4,합격
1034,B,342.3,112.8,8.0,불합격
1035,B,348.4,125.9,7.2,합격
1036,B,340.3,120.5,11.0,합격
1037,B,338.7,117.0,13.3,합격
1038,A,343.9,120.8,11.2,합격
1039,A,333.3,124.3,12.6,합격
1040,B,339.6,117.3,8.7,합격
1041,A,343.3,113.6,13.9,불합격
1042,B,,112.2,12.0,불합격
1043,A,337.9,122.3,12.5,합격
1044,B,340.4,117.3,15.9,합격
1045,B,345.0,123.2,11.0,합격
1046,B,346.3,120.2,14.8,합격
1047,A,346.9,113.3,11.9,불합격
1048,A,343.3,112.3,8.0,불합격
1049,B,342.8,113.7,6.4,불합격
1050,A,344.2,119.2,9.4,합격
1051,B,337.3,125.9,8.9,합격
1052,A,346.8,122.2,7.5,합격
1053,A,346.8,124.5,15.6,합격
1054,A,337.8,113.4,12.1,불합격
1055,B,342.5,121.6,9.1,합격
1056,A,341.6,120.9,8.0,합격
1057,A,337.0,119.3,14.7,합격
1058,B,343.9,114.4,11.0,불합격
1059,B,339.1,118.0,11.9,합격
1060,A,343.2,113.8,12.0,불합격
1004,A,335.1,113.6,8.3,불합격
1020,A,342.0,120.9,9.8,합격
