no,events,accident
5297,자동 점검 진입 해제 경보 경보 지연 지연 진입 점검 경보 복귀 대기 수동 대기 자동 경보 수동 점검 점검 복귀 점검 점검 경보 자동 대기 수동,0
5170,수동 점검 경보 경보 자동 점검 대기 경보 수동 수동 점검 경보 해제 통과 통과 점검 통과 통과 진입 복귀 진입 복귀 경보 자동 경보 해제 지연 통과 자동 경보 복귀 지연 지연,1
5110,수동 대기 경보 경보 통과 복귀 수동 대기 복귀 복귀 점검 해제 해제 복귀 점검 자동 진입 자동 자동 통과 진입 경보 통과 진입 경보 수동 진입,1
5129,자동 대기 점검 진입 점검 수동 진입 경보 경보 해제 점검 자동 자동 복귀 경보 지연 대기 수동 경보 수동 통과 통과 복귀 해제,0
5241,자동 복귀 대기 진입 복귀 수동 해제 대기 통과 수동 지연 경보 점검 진입 진입 점검 대기 점검 대기 수동 경보 자동 점검 자동,0
5317,자동 복귀 해제 경보 통과 통과 진입 경보 통과 자동 수동 진입 점검 수동 지연 통과 통과 진입 지연 점검 통과 수동 경보 경보 해제 자동 해제 점검 대기 통과 해제 점검 진입 대기 복귀,0
5374,수동 경보 자동 경보 점검 해제 점검 수동 대기 대기 통과 점검 통과 지연 지연 점검 점검 점검 진입 복귀 해제 자동 해제 경보 점검 복귀 지연 점검 수동 지연 대기 자동 대기 대기 복귀 대기,1
5097,자동 지연 대기 지연 복귀 지연 점검 해제 지연 복귀 지연 해제 경보 통과 자동 수동 해제 지연 해제 진입 진입 경보 수동 해제 경보 지연 경보 수동 통과 자동 해제 경보,0
5095,자동 경보 자동 해제 대기 통과 경보 지연 해제 수동 지연 지연 수동 점검 복귀 지연 해제 복귀 수동 점검 지연 경보 경보 진입 복귀 자동 대기 경보 경보 점검 지연,0
5329,자동 대기 지연 점검 경보 점검 복귀 통과 통과 점검 수동 대기 경보 해제 수동 경보 해제 점검 해제 경보 진입 복귀 대기 점검 복귀 경보 통과 지연 진입 해제 자동 자동 복귀 수동 진입 진입,0
5291,자동 지연 지연 진입 지연 복귀 통과 수동 해제 점검 해제 점검 해제 복귀 해제 통과 경보 복귀 점검 수동 경보 자동 해제 진입 대기 점검 복귀 통과 복귀 자동 복귀 복귀 진입 수동 해제,0
5300,수동 대기 복귀 지연 복귀 통과 점검 수동 복귀 점검 해제 지연 점검 복귀 점검 진입 지연 수동 자동 복귀 복귀 자동 통과 지연 자동,1
5266,수동 수동 자동 해제 점검 통과 자동 점검 진입 복귀 수동 통과 통과 통과 경보 경보 지연 대기 복귀 해제 점검 진입 자동 경보,1
5158,수동 점검 경보 지연 경보 해제 해제 수동 경보 대기 자동 점검 자동 진입 지연 진입 통과 대기 경보 점검 복귀 지연 대기 자동 지연 진입 지연 경보 해제 점검 경보 수동 해제 진입 복귀 점검,1
5054,수동 수동 복귀 통과 자동 점검 경보 수동 진입 경보 복귀 경보 대기 해제 복귀 진입 해제 자동 경보 경보 복귀 통과 지연 복귀 지연 통과 경보 자동 복귀 경보 대기,1
