no,memo,team
7001,어제부터 중계기 구간에서 통신이 끊어집니다. 확인 부탁드립니다.,통신
7002,배차 순번이 뒤바뀝니다.,관제
7003,도착 예정 시각이 실제와 많이 다릅니다. 개선안 적용한 뒤부터입니다.,관제
7004,어제부터 같은 노선에 두 대를 겹쳐 넣습니다. 재부팅해도 그대로입니다.,관제
7005,냉각팬 소리가 평소보다 큽니다. 급하지는 않습니다.,정비
7006,신호 세기가 뚝 떨어짐. 개선안 적용한 뒤부터입니다.,통신
7007,점검 이후로 접속했다가 바로 떨어짐. 재부팅해도 그대로입니다.,통신
7008,신호가 잡혔다 말았다 함.,통신
7009,어제부터 점검 뒤로 더 나빠짐. 급하지는 않습니다.,정비
7010,지난주부터 전원 표시등이 깜빡이기만 합니다. 확인 부탁드립니다.,정비
7011,오늘 아침에 재부팅 뒤에 설정이 초기값으로 돌아갑니다. 급하지는 않습니다.,정비
7012,화면이 멈춰 있습니다.,통신
7013,오늘 아침에 신호 세기가 갑자기 떨어집니다. 확인 부탁드립니다.,통신
7014,오늘 아침에 응답이 몇 초씩 늦게 옵니다.,통신
7015,어제부터 빈 차를 차고로 돌려보내지 않습니다. 확인 부탁드립니다.,관제
7016,본체가 뜨겁습니다.,정비
7017,점검 이후로 혼자 재부팅됩니다. 개선안 적용한 뒤부터입니다.,정비
7018,어제부터 명령을 보내도 차가 안 움직입니다. 옆 센터도 같다고 합니다.,관제
7019,전원 표시등만 깜빡임. 옆 센터도 같다고 합니다.,정비
7020,회신이 오래 걸림.,통신
7021,며칠째 전원 표시등이 깜빡이기만 합니다. 확인 부탁드립니다.,정비
7022,오늘 아침에 재부팅하면 설정이 초기화됨. 재부팅해도 그대로입니다.,정비
7023,가까운 차 두고 먼 차를 배정함. 개선안 적용한 뒤부터입니다.,관제
7024,응답이 늦게 옴. 옆 센터도 같다고 합니다.,통신
7025,점검 이후로 명령을 보내도 회신이 없습니다.,통신
7026,어제부터 신호가 잡히다 말다 합니다. 재부팅해도 그대로입니다.,통신
7027,점검 이후로 우회 지시를 계속 반복합니다.,관제
7028,어제부터 점검 뒤에 상태가 더 나빠졌습니다. 개선안 적용한 뒤부터입니다.,정비
7029,전원이 저절로 내려갑니다. 옆 센터도 같다고 합니다.,정비
7030,어제부터 전원이 혼자 꺼졌다 켜집니다.,정비
7031,점검 이후로 명령 보내도 회신이 안 옵니다.,통신
7032,어제부터 가까운 차 두고 먼 차를 배정함. 확인 부탁드립니다.,관제
7033,오늘 아침에 연결이 자꾸 끊어집니다. 옆 센터도 같다고 합니다.,통신
7034,지난주부터 빈 차를 차고로 돌려보내지 않습니다.,관제
7035,같은 노선에 두 대를 겹쳐 넣습니다.,관제
7036,경로를 엉뚱한 데로 잡음. 개선안 적용한 뒤부터입니다.,관제
7037,며칠째 전원 표시등만 깜빡임. 재부팅해도 그대로입니다.,정비
7038,어제부터 중계기 쪽에서 통신이 끊김. 급하지는 않습니다.,통신
7039,신호 세기가 뚝 떨어짐. 확인 부탁드립니다.,통신
7040,지난주부터 전원이 혼자 꺼졌다 켜집니다.,정비
7041,지난주부터 반응이 느려졌음. 개선안 적용한 뒤부터입니다.,정비
7042,경로를 엉뚱한 데로 잡음. 재부팅해도 그대로입니다.,관제
7043,며칠째 재부팅이 하루에 몇 번씩 일어납니다. 개선안 적용한 뒤부터입니다.,정비
7044,지난주부터 혼자 재부팅됩니다.,정비
7045,신호가 잡히다 말다 합니다.,통신
7046,재부팅 뒤에 설정이 초기값으로 돌아갑니다.,정비
7047,어제부터 경로를 엉뚱한 데로 잡음. 급하지는 않습니다.,관제
7048,연결이 자꾸 끊어집니다.,통신
7049,며칠째 빈 차를 차고로 돌려보내지 않습니다.,관제
7050,부팅 도중에 멈춰 서 있습니다. 확인 부탁드립니다.,정비
7051,며칠째 회신까지 시간이 오래 걸립니다. 확인 부탁드립니다.,통신
7052,오늘 아침에 본체에서 열이 많이 납니다.,정비
7053,점검 이후로 연결 끊김이 잦음. 옆 센터도 같다고 합니다.,통신
7054,어제부터 화면이 멈춤. 개선안 적용한 뒤부터입니다.,정비
7055,가까운 차 두고 먼 차를 배정함. 옆 센터도 같다고 합니다.,관제
7056,우회 지시가 계속 반복됨. 재부팅해도 그대로입니다.,관제
7057,배차 취소하고 다시 넣음. 확인 부탁드립니다.,관제
7058,점검 이후로 냉각팬 소리가 큼. 옆 센터도 같다고 합니다.,정비
7059,지난주부터 재부팅이 하루 몇 번씩 됨.,정비
7060,점검 이후로 배차 순번이 뒤바뀝니다. 옆 센터도 같다고 합니다.,관제
7061,본체가 뜨겁습니다.,정비
7062,어제부터 도착 예정 시각이 실제와 많이 다릅니다. 개선안 적용한 뒤부터입니다.,관제
7063,신호 세기가 뚝 떨어짐. 옆 센터도 같다고 합니다.,통신
7064,지난주부터 가까운 차를 두고 먼 차를 배정합니다. 재부팅해도 그대로입니다.,관제
7065,오늘 아침에 응답이 늦게 옴.,통신
7066,지난주부터 명령을 보내도 회신이 없습니다. 확인 부탁드립니다.,통신
7067,며칠째 신호가 잡혔다 말았다 함.,통신
7068,전원이 혼자 꺼짐.,정비
7069,회신이 오래 걸림. 확인 부탁드립니다.,통신
7070,배차 순번이 뒤바뀌어 나옴.,관제
7071,화면이 멈춰 있습니다. 개선안 적용한 뒤부터입니다.,정비
7072,점검 이후로 같은 노선에 두 대가 겹쳐 들어감.,관제
7073,신호 세기가 갑자기 떨어집니다.,통신
7074,같은 노선에 두 대가 겹쳐 들어감.,관제
7075,지난주부터 저장 공간이 자꾸 가득 찹니다. 급하지는 않습니다.,정비
7076,점검 이후로 중계기 구간에서 통신이 끊어집니다.,통신
7077,점검 뒤에 상태가 더 나빠졌습니다.,정비
7078,같은 노선에 두 대를 겹쳐 넣습니다. 옆 센터도 같다고 합니다.,관제
7079,어제부터 응답 지연이 몇 초씩 있습니다.,통신
7080,점검 이후로 가까운 차를 두고 먼 차를 배정합니다. 옆 센터도 같다고 합니다.,관제
7081,며칠째 신호가 잡히다 말다 합니다. 재부팅해도 그대로입니다.,통신
7082,지난주부터 연결 끊김이 잦음. 옆 센터도 같다고 합니다.,통신
7083,지난주부터 경로를 엉뚱한 데로 잡음. 옆 센터도 같다고 합니다.,관제
7084,지난주부터 명령 보내도 회신이 안 옵니다. 급하지는 않습니다.,통신
7085,지난주부터 배차 취소하고 다시 넣음.,관제
7086,어제부터 혼자 재부팅됩니다. 확인 부탁드립니다.,정비
7087,며칠째 부팅 중에 멈춰 있음. 확인 부탁드립니다.,정비
7088,응답이 늦게 옴.,통신
7089,지난주부터 냉각팬에서 소리가 심하게 납니다. 확인 부탁드립니다.,정비
7090,배차 순번이 뒤바뀌어 나옴. 재부팅해도 그대로입니다.,관제
7091,오늘 아침에 명령을 보내도 회신이 없습니다.,통신
7092,지난주부터 신호 세기가 갑자기 떨어집니다.,통신
7093,가까운 차를 두고 먼 차를 배정합니다. 급하지는 않습니다.,관제
7094,어제부터 경로를 엉뚱한 데로 잡음. 개선안 적용한 뒤부터입니다.,관제
7095,점검 이후로 저장 공간이 계속 참. 개선안 적용한 뒤부터입니다.,정비
7096,지난주부터 접속이 되었다가 바로 떨어집니다. 옆 센터도 같다고 합니다.,통신
7097,오늘 아침에 접속이 되었다가 바로 떨어집니다. 확인 부탁드립니다.,통신
7098,지난주부터 재부팅이 하루 몇 번씩 됨. 개선안 적용한 뒤부터입니다.,정비
7099,신호 세기가 갑자기 떨어집니다. 확인 부탁드립니다.,통신
7100,냉각팬에서 소리가 심하게 납니다.,관제
7101,가까운 차를 두고 먼 차를 배정합니다. 확인 부탁드립니다.,관제
7102,오늘 아침에 도착 예정 시각이 실제와 많이 다릅니다. 개선안 적용한 뒤부터입니다.,관제
7103,며칠째 냉각팬에서 소리가 심하게 납니다.,정비
7104,며칠째 화면이 멈춤.,통신
7105,점검 이후로 전원 표시등이 깜빡이기만 합니다.,정비
7106,명령 보내도 회신이 안 옵니다. 재부팅해도 그대로입니다.,통신
7107,오늘 아침에 전원 표시등이 깜빡이기만 합니다. 급하지는 않습니다.,정비
7108,지난주부터 반응이 느립니다. 재부팅해도 그대로입니다.,통신
7109,지난주부터 신호 세기가 갑자기 떨어집니다. 재부팅해도 그대로입니다.,통신
7110,명령 보내도 회신이 안 옵니다. 확인 부탁드립니다.,통신
7111,점검 이후로 전원 표시등이 깜빡이기만 합니다. 개선안 적용한 뒤부터입니다.,정비
7112,본체가 뜨겁습니다.,정비
7113,점검 이후로 저장 공간이 계속 참. 개선안 적용한 뒤부터입니다.,통신
7114,지난주부터 가까운 차를 두고 먼 차를 배정합니다.,관제
7115,점검 이후로 우회 지시가 계속 반복됨. 옆 센터도 같다고 합니다.,관제
7116,어제부터 화면이 멈춤.,통신
7117,오늘 아침에 혼자 재부팅됩니다. 옆 센터도 같다고 합니다.,정비
7118,경로를 엉뚱한 데로 잡음.,관제
7119,점검 이후로 경로를 엉뚱한 데로 잡음. 급하지는 않습니다.,관제
7120,지난주부터 같은 노선에 두 대를 겹쳐 넣습니다.,관제
7121,배차 순번이 뒤바뀝니다. 재부팅해도 그대로입니다.,관제
7122,어제부터 명령을 보내도 차가 안 움직임.,관제
7123,지난주부터 빈 차를 차고로 돌려보내지 않습니다. 옆 센터도 같다고 합니다.,관제
7124,점검 이후로 우회 지시가 계속 반복됨. 급하지는 않습니다.,관제
7125,지난주부터 연결이 자꾸 끊어집니다.,통신
7126,며칠째 명령을 보내도 차가 안 움직임. 개선안 적용한 뒤부터입니다.,통신
7127,며칠째 전원이 저절로 내려갑니다. 재부팅해도 그대로입니다.,정비
7128,오늘 아침에 빈 차가 차고로 안 돌아옵니다. 개선안 적용한 뒤부터입니다.,관제
7129,어제부터 전원이 저절로 내려갑니다. 확인 부탁드립니다.,정비
7130,며칠째 신호가 잡히다 말다 합니다.,통신
7131,지난주부터 재부팅하면 설정이 초기화됨. 옆 센터도 같다고 합니다.,정비
7132,응답이 늦게 옴.,통신
7133,같은 노선에 두 대가 겹쳐 들어감.,관제
7134,점검 이후로 냉각팬 소리가 큼. 급하지는 않습니다.,정비
7135,점검 이후로 명령 보내도 회신이 안 옵니다. 개선안 적용한 뒤부터입니다.,통신
7136,며칠째 응답이 몇 초씩 늦게 옵니다. 개선안 적용한 뒤부터입니다.,통신
7137,점검 이후로 도착 예정 시각이 실제와 많이 다릅니다.,관제
7138,점검 이후로 부팅 중에 멈춰 있음.,정비
7139,전원 표시등만 깜빡임.,정비
7140,전원이 혼자 꺼짐. 옆 센터도 같다고 합니다.,정비
7141,며칠째 반응이 느립니다. 옆 센터도 같다고 합니다.,통신
7142,어제부터 같은 노선에 두 대를 겹쳐 넣습니다. 확인 부탁드립니다.,관제
7143,오늘 아침에 전원 표시등만 깜빡임.,정비
7144,응답이 늦게 옴.,통신
7145,며칠째 명령을 보내도 차가 안 움직입니다. 재부팅해도 그대로입니다.,관제
7146,어제부터 저장 공간이 계속 참.,정비
7147,빈 차가 차고로 안 돌아옵니다. 재부팅해도 그대로입니다.,관제
7148,전원 표시등이 깜빡이기만 합니다.,정비
7149,연결이 자꾸 끊어집니다. 재부팅해도 그대로입니다.,통신
7150,혼자 재부팅됩니다. 확인 부탁드립니다.,정비
7151,지난주부터 명령을 보내도 회신이 없습니다.,통신
7152,전원 표시등만 깜빡임. 재부팅해도 그대로입니다.,정비
7153,며칠째 빈 차가 차고로 안 돌아옵니다. 급하지는 않습니다.,관제
7154,어제부터 연결 끊김이 잦음. 옆 센터도 같다고 합니다.,통신
7155,지난주부터 명령을 보내도 회신이 없습니다.,통신
7156,저장 공간이 자꾸 가득 찹니다.,정비
7157,점검 이후로 경로가 엉뚱하게 잡힙니다. 재부팅해도 그대로입니다.,관제
7158,점검 이후로 신호 세기가 뚝 떨어짐.,통신
7159,명령 보내도 회신이 안 옵니다.,통신
7160,어제부터 우회 지시가 계속 반복됨. 재부팅해도 그대로입니다.,관제
7161,오늘 아침에 전원이 혼자 꺼짐.,정비
7162,어제부터 부팅 도중에 멈춰 서 있습니다. 재부팅해도 그대로입니다.,정비
7163,며칠째 냉각팬 소리가 평소보다 큽니다. 옆 센터도 같다고 합니다.,관제
7164,저장 공간이 자꾸 가득 찹니다.,정비
7165,오늘 아침에 재부팅이 하루 몇 번씩 됨. 개선안 적용한 뒤부터입니다.,정비
7166,본체 발열이 심함. 재부팅해도 그대로입니다.,관제
7167,경로를 엉뚱한 데로 잡음. 재부팅해도 그대로입니다.,정비
7168,어제부터 재부팅 뒤에 설정이 초기값으로 돌아갑니다. 개선안 적용한 뒤부터입니다.,정비
7169,오늘 아침에 신호가 잡혔다 말았다 함.,통신
7170,며칠째 접속이 되었다가 바로 떨어집니다. 확인 부탁드립니다.,통신
7171,빈 차를 차고로 돌려보내지 않습니다. 옆 센터도 같다고 합니다.,관제
7172,오늘 아침에 가까운 차를 두고 먼 차를 배정합니다.,관제
7173,어제부터 신호 세기가 뚝 떨어짐. 옆 센터도 같다고 합니다.,정비
7174,같은 노선에 두 대가 겹쳐 들어감.,관제
7175,어제부터 연결이 수시로 끊깁니다.,통신
7176,며칠째 신호가 잡히다 말다 합니다. 재부팅해도 그대로입니다.,통신
7177,어제부터 같은 노선에 두 대를 겹쳐 넣습니다. 재부팅해도 그대로입니다.,관제
7178,어제부터 중계기 쪽에서 통신이 끊김. 재부팅해도 그대로입니다.,통신
7179,오늘 아침에 재부팅 뒤에 설정이 초기값으로 돌아갑니다.,정비
7180,점검 이후로 냉각팬에서 소리가 심하게 납니다. 급하지는 않습니다.,정비
7181,점검 이후로 가까운 차 두고 먼 차를 배정함. 재부팅해도 그대로입니다.,관제
7182,응답이 늦게 옴. 확인 부탁드립니다.,통신
7183,배차 순번을 뒤바꿔 놓습니다. 옆 센터도 같다고 합니다.,관제
7184,오늘 아침에 도착 예정 시각이 실제랑 다름. 개선안 적용한 뒤부터입니다.,관제
7185,우회 지시를 계속 반복합니다. 옆 센터도 같다고 합니다.,관제
7186,지난주부터 응답 지연이 몇 초씩 있습니다.,통신
7187,며칠째 응답 지연이 몇 초씩 있습니다. 개선안 적용한 뒤부터입니다.,통신
7188,지난주부터 저장 공간이 자꾸 가득 찹니다.,정비
7189,며칠째 전원 표시등이 깜빡이기만 합니다. 확인 부탁드립니다.,정비
7190,며칠째 본체 발열이 심함.,정비
7191,재부팅이 하루에 몇 번씩 일어납니다.,정비
7192,부팅 중에 멈춰 있음. 확인 부탁드립니다.,정비
7193,어제부터 배차를 취소했다가 다시 넣습니다.,관제
7194,지난주부터 중계기 쪽에서 통신이 끊김. 개선안 적용한 뒤부터입니다.,통신
7195,며칠째 명령을 보내도 회신이 없습니다.,통신
7196,어제부터 신호 세기가 갑자기 떨어집니다. 재부팅해도 그대로입니다.,통신
