id,hours,reboots,delay,errors,patched,again
4001,1590,5,367.1,16,1,0
4002,3630,5,304.9,8,0,0
4003,3750,4,521.6,13,0,0
4004,2360,4,351.5,18,0,0
4005,3460,12,471.4,0,0,0
4006,1640,5,121.4,15,1,0
4007,2300,2,278.3,16,0,0
4008,760,9,556.3,11,0,0
4009,3960,14,300.1,8,0,1
4010,460,14,302.7,0,1,0
4011,3850,14,484.3,4,1,0
4012,330,13,391.1,3,0,1
4013,3580,6,102.0,20,0,0
4014,3130,5,418.7,13,1,0
4015,2700,9,433.5,4,1,1
4016,3650,12,479.5,2,1,1
4017,670,4,549.6,0,1,1
4018,1220,6,421.5,2,0,1
4019,2840,0,389.2,7,1,0
4020,710,2,391.4,5,0,0
4021,3460,13,291.6,6,0,1
4022,810,9,376.9,13,1,0
4023,1780,5,155.2,14,0,0
4024,2630,14,228.4,14,0,1
4025,2030,1,571.3,2,0,0
4026,700,11,242.5,6,0,0
4027,800,9,585.5,6,0,0
4028,1520,0,400.7,7,0,0
4029,420,10,410.1,5,0,1
4030,230,0,57.5,1,0,0
4031,2010,4,448.4,8,1,1
4032,3550,13,300.2,19,0,1
4033,2090,4,523.8,8,1,1
4034,2680,0,325.7,0,0,0
4035,1440,11,530.3,12,1,1
4036,2260,5,193.2,2,0,0
4037,3730,5,261.3,2,0,0
4038,3540,7,214.8,11,0,0
4039,2780,5,59.4,18,1,0
4040,2160,13,55.7,20,0,1
4041,1830,11,152.0,10,1,0
4042,2720,11,518.7,19,0,0
4043,680,13,226.9,12,1,0
4044,3050,6,158.4,15,1,0
4045,1280,12,478.9,18,1,1
4046,2150,5,552.2,16,0,0
4047,860,2,151.9,20,1,0
4048,1730,9,120.6,8,1,0
4049,780,7,192.0,6,0,0
4050,210,2,399.0,19,1,0
4051,480,11,599.7,10,1,1
4052,3680,10,536.3,1,0,0
4053,740,12,591.8,15,1,1
4054,3040,2,434.6,6,0,0
4055,2520,9,310.1,8,1,0
4056,220,14,374.6,14,1,0
4057,580,2,247.1,17,0,0
4058,2210,1,473.4,8,0,0
4059,380,6,460.9,20,1,1
4060,1960,8,60.4,12,0,0
4061,1020,9,356.5,10,1,0
4062,3820,2,445.7,5,0,0
4063,3360,0,465.8,10,1,1
4064,1200,4,302.2,9,0,0
4065,2610,8,564.5,18,0,0
4066,3770,1,366.2,2,1,0
4067,1970,12,525.2,2,0,1
4068,2140,7,45.9,0,0,0
4069,900,1,265.8,19,1,0
4070,650,10,346.5,15,0,0
4071,1980,11,399.7,18,1,0
4072,3920,6,481.1,3,0,0
4073,780,11,116.7,8,0,0
4074,240,7,462.5,15,1,1
4075,2220,6,350.9,7,0,1
4076,290,10,573.5,5,1,1
4077,3180,13,446.5,19,1,1
4078,2810,3,326.9,1,0,0
4079,3550,1,582.1,20,0,0
4080,2210,4,423.2,6,0,0
4081,3930,13,563.6,16,0,1
4082,3510,11,78.3,10,0,0
4083,620,9,97.8,16,1,0
4084,2270,13,221.6,1,0,1
4085,250,5,414.7,20,0,0
4086,3360,13,484.5,5,0,1
4087,3950,9,48.8,12,0,0
4088,1290,0,514.4,5,1,1
4089,3340,4,312.8,13,1,0
4090,3580,6,542.2,17,0,0
4091,1370,6,203.1,12,1,0
4092,3100,5,47.8,19,0,0
4093,2130,11,488.5,12,0,0
4094,1940,8,353.2,6,1,0
4095,850,5,364.6,2,1,0
