no,steps,bad
6001,자동정렬 대기 재작업 각인 도포 도포 도포 경화 검사 각인 재작업 대기 대기 각인 수동정렬 이송 이송 검사 검사 수동정렬 도포 이송 경화 경화 각인 자동정렬,0
6002,자동정렬 압착 세척 도포 압착 대기 압착 이송 경화 경화 자동정렬 경화 각인 대기 수동정렬 검사 재작업 각인 이송 압착 대기 수동정렬 압착 각인 도포 압착 이송,0
6003,수동정렬 도포 세척 대기 압착 도포 재작업 대기 각인 각인 자동정렬 압착 경화 도포 각인 자동정렬 수동정렬 각인 이송 이송 도포 도포 압착 재작업 세척 도포,1
6004,자동정렬 자동정렬 검사 세척 세척 검사 세척 경화 세척 수동정렬 경화 검사 이송 경화 대기 경화 대기 도포 수동정렬 각인 각인 압착 경화 검사 세척 경화,0
6005,자동정렬 세척 세척 재작업 재작업 도포 세척 재작업 경화 압착 재작업 경화 도포 세척 각인 수동정렬 각인 각인 수동정렬 자동정렬 이송 세척 압착 도포 경화,1
6006,수동정렬 대기 수동정렬 경화 재작업 압착 대기 이송 각인 대기 자동정렬 세척 대기 세척 도포 이송 자동정렬 세척 이송 각인 각인 세척 세척 재작업,1
6007,자동정렬 이송 압착 이송 압착 압착 압착 재작업 도포 도포 수동정렬 재작업 각인 경화 경화 도포 대기 자동정렬 수동정렬 압착 경화 경화 각인 각인 대기 각인,0
6008,자동정렬 재작업 세척 이송 대기 자동정렬 재작업 수동정렬 도포 압착 경화 검사 압착 경화 검사 대기 경화 각인 수동정렬 경화 검사 검사 경화 대기 압착 압착 각인,0
6009,자동정렬 대기 이송 수동정렬 이송 경화 경화 경화 수동정렬 세척 각인 각인 압착 검사 대기 경화 세척 도포 압착 검사 각인 이송 이송 세척 자동정렬 세척 경화 대기,0
6010,자동정렬 각인 수동정렬 압착 세척 도포 이송 세척 압착 각인 압착 검사 세척 수동정렬 각인 검사 이송 자동정렬 대기 도포 세척 세척 도포 세척,0
6011,자동정렬 이송 경화 세척 세척 경화 검사 경화 도포 세척 자동정렬 세척 각인 수동정렬 수동정렬 검사 도포 각인 대기 재작업 세척 압착 재작업,0
6012,자동정렬 이송 압착 압착 세척 자동정렬 대기 경화 각인 압착 대기 세척 재작업 세척 수동정렬 수동정렬 각인 도포 검사 이송 세척 경화,0
6013,자동정렬 수동정렬 경화 재작업 이송 압착 도포 이송 도포 재작업 경화 검사 각인 이송 도포 자동정렬 압착 검사 경화 수동정렬 대기 이송 대기 검사 압착 도포,0
